Institution,Indexed,Delta,Run #10 Mar 13 12:23 PM (6936 found, completed),Run #8 Mar 12 02:13 PM (17642 found, completed),Run #7 Mar 12 11:44 AM (10969 found, completed),Run #4 Mar 12 07:31 AM (11971 found, completed),Run #2 Mar 12 01:00 AM (23775 found, completed),Run #1 Mar 11 11:52 PM (19493 found, completed)
Total,12568,-10706,6936,17642,10969,11971,23775,19493
"Johns Hopkins University",1251,-18,2112,2130,2130,0,105,0
"Purdue University",343,1607,1607,0,0,0,343,0
"Northwestern University",338,0,757,757,757,311,0,0
"Princeton University",132,1,426,425,426,89,0,0
"University of Rochester",105,-1,310,311,74,103,0,0
"University of Utah",79,284,284,0,285,79,0,0
"Clemson University",34,-1,155,156,38,33,0,0
"Saint Louis University",100,0,127,127,127,100,0,0
"University of Virginia",81,0,115,115,0,81,0,0
"Tufts University",38,113,113,0,37,0,38,0
"MIT",38,-160,100,260,0,24,0,0
"Mississippi State University",11,42,95,53,95,2,9,0
"UC Berkeley",31,90,90,0,0,0,31,0
"University of Maine",2,0,80,80,80,2,0,0
"University of South Florida",242,71,71,0,661,37,105,0
"Washington University in St. Louis",20,60,60,0,40,0,8,0
"UT Dallas",17,0,57,57,57,17,0,0
"UC Davis",18,0,43,43,43,18,0,0
"University of Oregon",8,-8,42,50,0,8,0,0
"University of Illinois",4,34,34,0,0,0,4,0
"Translational Genomics Research Institute",28,0,32,32,32,28,0,0
"University of Chicago",166,31,31,0,0,0,166,0
"SUNY Upstate Medical University",15,0,24,24,20,15,0,0
"Lehigh University",10,-49,22,71,27,10,0,0
"University of Alaska Fairbanks",2,-1,21,22,23,2,0,0
"Scripps Research",12,0,20,20,20,0,12,0
"Rensselaer Polytechnic Institute",32,-240,20,260,260,29,0,0
"Virginia Tech",27,-44,19,63,182,27,0,0
"George Mason University",2,0,19,19,16,2,0,0
"Cal Poly San Luis Obispo",0,-11,18,29,29,0,0,0
"Stanford University",454,15,15,0,0,9,38,0
"Brown University",78,-148,12,160,160,0,72,0
"University of Miami",1,0,1,1,1,1,0,0
"University of Idaho",0,0,1,1,1,0,0,0
"University of Southampton",0,0,1,1,1,0,0,0
"King's College London",39,-55,0,55,55,0,0,24
"University of Manitoba",31,-48,0,48,48,0,0,24
"University of Notre Dame",61,-114,0,114,114,0,0,24
"University of Liverpool",35,-47,0,47,47,0,0,24
"University of Minnesota",205,0,0,0,770,0,189,0
"Baylor University",42,0,0,0,0,0,42,0
"University of Victoria",9,-36,0,36,9,0,9,0
"University of Arizona",32,0,0,0,0,0,32,0
"Drexel University",63,-212,0,212,0,0,22,0
"University of Pittsburgh",653,-1228,0,1228,0,0,632,0
